uid,text_info
100100,1971 [Calgary] J. Horsky
100101,1972 [Edmonton] J. Horsky
100102,1973 [Calgary] S. Haig
100103,1974 [Edmonton] B. Spiers
100104,1975 [Calgary] M. Allison
100105,1976 [Calgary] J. Horsky
100106,1977 [Edmonton] R. Nelson
100107,1978 [Calgary] (Laila?) Pirila (Fin)
100108,1979 [Calgary] L. Leighton
100109,1980 [Calgary] L. Leighton
100110,1981 [Edmonton] Mary Manley
100111,1982 [Calgary] I. Gupta
100112,1983 [Calgary] I. Gupta
100113,1984 [Edmonton] Mary Manley
100114,1985 [Calgary] Monica Silenzi
100115,1986 [Edmonton] Jane Crowshaw
100116,1987 [Calgary] Jane Crowshaw
100117,1988 [Edmonton] Monica Silenzi
100118,1989 [Calgary] M. Duda
100119,1990 [Edmonton] K. Frost
100120,1991 [Red Deer] M. Duda
100121,1992 [Calgary] M. Duda
100122,1993 [Edmonton] Barbara Urbanska
100123,1994 [Calgary] Barbara Urbanska
100124,1995 [Calgary] K. Emes
100125,1996 [Edmonton] Kristin Gyaki
100126,1997 [Calgary] Charlotte Feasby
100127,1998 [Edmonton] Barbara Urbanska
100128,1999 [Edmonton] Kristin Gyaki
100129,2000 [Edmonton] Christine Skoda
100130,2001 [Edmonton] Kristin Gyaki
100131,2002 [Edmonton] Leanne Rutherford
100132,2003 [Red Deer] Christine Skoda
100133,2004 [Red Deer] Lan Yao (Chn)
100134,2005 [Red Deer] Lan Yao (Chn)
100135,2006 [Calgary] Lan Yao (Chn)
100136,2007 [Red Deer] Christine Skoda
100137,2008 [Edmonton] Lan Yao (Chn)
100138,2009 [Edmonton] Lan Yao (Chn)
100139,2010 [Edmonton] K. Scott
100140,2011 [Edmonton] K. Scott
100141,2012 [Edmonton] W. Sweeting
100142,1891 Toupie Lowther d. Miss Carter 6-4 0-6 6-4
100143,1908 Lavinia Radeglia d. May Morris 4-6 6-2 6-2
100144,1909 Dorothy Holman d. E.G. Willis 6-0 6-2
100145,1910 Miss Stogdon d. N. Stanford 6-1 6-0
100146,1911 Mildred Brooksmith d. Charlotte Everard 6-2 6-0
100147,1912 Daisy Clark Kercheval-Hole d. Mrs Reynolds 6-2 6-0
100148,1913 Mildred Brooksmith d. E.M. Brogden 6-2 6-3
100149,1920 Dorothy Kemmis-Betty d. Mrs Hind 6-3 6-4
100150,1921 Mrs Darbishire d. N. Welch 4-6 6-3 6-3
100151,1922 Dorothy Kemmis-Betty d. Violet Southam 6-1 6-0
100152,1923 Violet Southam d. Joan Ridley 6-4 5-7 6-3
100153,1924 Nancy Palmer Edwards d. M.C. Hervey 6-4 6-1
100154,1925 Nancy Palmer Edwards d. J. Hill 6-2 11-9
100155,1926 Dorothy Biddle d. Miss Norman 6-2 6-4
100156,1927 Mary Cambridge d. L.K. Bond 6-4 6-1
100157,1928 Nancy Palmer Edwards d. Mrs P. Carthew 6-2 7-5
100158,1929 Nancy Palmer Edwards d. Betty Boas 6-1 6-2
100159,1930 Helen Eddis d. Miss Wentworth-Reeve 5-7 6-2 7-5
100160,1931 Kay Stammers d. Margaret McKane Stocks 6-3 6-1
100161,1932 Dorothy Biddle de Winton d. I.M. Boothroyd 6-1 6-1
100162,1933 Dorothy Biddle de Winton d. D. Finnigan 7-5 6-1
